TAG_CODE,CAPTURE_CODE,MARCH_FLAG,APR_FLAG,MAY_FLAG,JUNE_FLAG,JULY_FLAG,AUGUST_FLAG,SEP_FLAG,SOCKEYE_FLAG,HATCHERY_REARED,SS_FLAG,LENGTH_MM
3DD.003C09B25E,0,0,1,0,0,0,0,0,0,0,0,124
3DD.003D424C68,0,0,0,0,0,0,0,1,1,1,1,94
3DD.003D424220,1,0,0,0,0,0,0,1,1,1,1,89
3DD.003D4246E2,1,0,0,0,0,0,0,1,1,1,1,93
3DD.003D42504D,1,0,0,0,0,0,0,1,1,1,1,95
3DD.003D42442B,1,0,0,0,0,0,0,1,1,1,1,88
3DD.003D424DDB,1,0,0,0,0,0,0,1,1,1,1,97
3DD.003D4252B2,1,0,0,0,0,0,0,1,1,1,1,97
3DD.003D4255B0,1,0,0,0,0,0,0,1,1,1,1,105
3DD.003D4258B2,1,0,0,0,0,0,0,1,1,1,1,94
3DD.003D480D18,1,0,0,1,0,0,0,0,1,1,0,149
3DD.003C09A57E,0,0,0,0,0,0,0,1,1,1,1,90
3DD.003D282B4A,0,0,0,1,0,0,0,0,1,0,1,144
3DD.003D280CE0,0,0,1,0,0,0,0,0,0,0,0,131
3DD.003D424A6E,0,0,0,0,0,0,0,1,1,1,1,84
3DD.003D42429E,1,0,0,0,0,0,0,1,1,1,1,100
3DD.003BEA1377,0,0,0,1,0,0,0,0,0,0,0,138
3DD.003D42487A,0,0,0,0,0,0,0,1,1,1,1,97
3DD.003D4246C9,0,0,0,0,0,0,0,1,1,1,1,89
3DD.003D5C6EE6,0,0,0,0,1,0,0,0,1,0,1,125
3DD.003D42459D,0,0,0,0,0,0,0,1,1,1,1,95
3DD.003D42555C,0,0,0,0,0,0,0,1,1,1,1,103
3DD.003D42576D,0,0,0,0,0,0,0,1,1,1,1,98
3DD.003D424311,0,0,0,0,0,0,0,1,1,1,1,100
3DD.003C099F4C,0,0,0,0,0,0,0,1,1,1,1,93
3DD.003D5C6CD6,0,0,0,1,0,0,0,0,1,0,1,222
3DD.003D48083A,0,0,0,1,0,0,0,0,1,1,0,151
3DD.003C099651,0,0,0,1,0,0,0,0,1,0,1,136
3DD.003C0995DA,0,0,0,0,0,0,0,1,1,1,1,91
3DD.003C099C22,0,0,0,0,1,0,0,0,1,0,1,178
3DD.003D4244A0,0,0,0,0,0,0,0,1,1,1,1,93
3DD.003C09AB8A,0,0,0,0,0,0,0,1,1,1,1,97
3DD.003D47E3DE,0,0,0,0,0,0,0,0,0,0,1,93
3DD.003C099AFE,0,0,0,0,0,0,0,1,1,1,1,92
3DD.003C099DF5,0,0,0,0,1,0,0,0,1,0,1,147
3DD.003D4249AA,0,0,0,0,0,0,0,1,1,1,1,100
3DD.003D42484F,0,0,0,0,0,0,0,1,1,1,1,88
3DD.003D424FD0,0,0,0,0,0,0,0,1,1,1,1,108
3DD.003D425388,0,0,0,0,0,0,0,1,1,1,1,90
3DD.003C0998D4,0,0,0,0,0,0,0,1,1,1,1,99
3DD.003C09A72C,0,0,0,0,0,0,0,1,1,1,1,79
3DD.003C098A3E,0,0,0,1,0,0,0,0,1,0,1,170
3DD.003BEA1641,0,0,0,0,1,0,0,0,0,0,0,141
3DD.003D5C7087,0,0,0,1,0,0,0,0,1,0,1,215
3DD.003D281A0C,0,1,0,0,0,0,0,0,1,0,1,130
3DD.003D424690,0,0,0,0,0,0,0,1,1,1,1,86
3DD.003D480BAE,0,0,0,1,0,0,0,0,1,1,0,148
3DD.003BE9E87F,0,0,1,0,0,0,0,0,0,0,0,126
3DD.003D425218,0,0,0,0,0,0,0,1,1,1,1,101
3DD.003BEA12FC,0,0,0,1,0,0,0,0,0,0,0,131
3DD.003D4242A4,0,0,0,0,0,0,0,1,1,1,1,94
3DD.003C099BE8,0,0,0,0,1,0,0,0,1,0,1,171
3DD.003D425070,0,0,0,0,0,0,0,1,1,1,1,93
3DD.003D425540,0,0,0,0,0,0,0,1,1,1,1,95
3DD.003C09AABE,0,0,0,0,0,0,0,1,1,1,1,95
3DD.003D4251CB,0,0,0,0,0,0,0,1,1,1,1,101
3DD.003D5C6E9C,0,0,1,0,0,0,0,0,1,0,1,116
3DD.003BE9E9A6,0,0,0,1,0,0,0,0,0,0,0,135
3DD.003D423E3B,0,0,0,0,0,0,0,1,1,1,1,112
3DD.003D424722,0,0,0,0,0,0,0,1,1,1,1,100
3DD.003D425255,1,0,0,0,0,0,0,1,1,1,1,99
384.3B23A507A2,0,0,0,1,0,0,0,0,0,0,0,110
3DD.003D423E90,1,0,0,0,0,0,0,1,1,1,1,97
3DD.003D42487B,1,0,0,0,0,0,0,1,1,1,1,95
3DD.003C09A600,0,0,0,0,0,0,0,1,1,1,1,80
3DD.003D4242D4,1,0,0,0,0,0,0,1,1,1,1,117
3DD.003D42569B,1,0,0,0,0,0,0,1,1,1,1,102
3DD.003D425080,1,0,0,0,0,0,0,1,1,1,1,83
3DD.003D425442,1,0,0,0,0,0,0,1,1,1,1,90
3DD.003D4245F1,0,0,0,0,0,0,0,1,1,1,1,94
3DD.003D5C6ED2,0,0,0,1,0,0,0,0,1,0,1,112
3DD.003C09AA8F,1,0,0,0,0,0,0,1,1,1,1,99
3DD.003D424367,1,0,0,0,0,0,0,1,1,1,1,87
3DD.003D423DC4,1,0,0,0,0,0,0,1,1,1,1,87
3DD.003D423E84,1,0,0,0,0,0,0,1,1,1,1,95
3DD.003D424151,1,0,0,0,0,0,0,1,1,1,1,93
3DD.003D424877,1,0,0,0,0,0,0,1,1,1,1,93
3DD.003D4248F5,1,0,0,0,0,0,0,1,1,1,1,130
3DD.003D425878,1,0,0,0,0,0,0,1,1,1,1,93
3DD.003C099908,0,0,0,0,0,0,0,1,1,1,1,93
3DD.003C099D0E,0,0,0,0,0,0,0,1,1,1,1,99
3DD.003D424938,1,0,0,0,0,0,0,1,1,1,1,103
3DD.003D424FFC,1,0,0,0,0,0,0,1,1,1,1,96
3DD.003D4241F1,1,0,0,0,0,0,0,1,1,1,1,94
3DD.003D424946,1,0,0,0,0,0,0,1,1,1,1,93
3DD.003D42547D,1,0,0,0,0,0,0,1,1,1,1,91
3DD.003D47D6BC,1,0,0,1,0,0,0,0,1,1,0,136
3DD.003D4806AB,1,0,0,1,0,0,0,0,1,1,0,152
3DD.003D480C83,1,0,0,1,0,0,0,0,1,1,0,145
3DD.003D281921,0,0,0,1,0,0,0,0,0,0,1,138
384.3B23A888EE,0,0,0,0,1,0,0,0,0,0,0,123
3DD.003D423EE2,0,0,0,0,0,0,0,1,1,1,1,99
3DD.003D424AF4,0,0,0,0,0,0,0,1,1,1,1,95
3DD.003D4257F9,0,0,0,0,0,0,0,1,1,1,1,92
3DD.003D4243DD,0,0,0,0,0,0,0,1,1,1,1,100
3DD.003D425883,0,0,0,0,0,0,0,1,1,1,1,96
3DD.003D281C22,0,0,1,0,0,0,0,0,1,0,1,131
3DD.003D424BD6,0,0,0,0,0,0,0,1,1,1,1,93
384.3B23A61921,0,0,0,0,1,0,0,0,0,0,0,127
3DD.003C0994DD,0,0,0,0,0,0,0,1,1,1,1,93
384.3B23A1CD33,0,0,0,0,1,0,0,0,0,0,0,121
3DD.003D4245B3,1,0,0,0,0,0,0,1,1,1,1,94
3DD.003C09991A,0,0,0,0,0,0,0,1,1,1,1,92
3DD.003D2814F1,0,0,0,0,0,1,0,0,0,0,1,126
3DD.003C09A57F,0,0,0,0,0,0,0,1,1,1,1,99
3DD.003D4249CA,0,0,0,0,0,0,0,1,1,1,1,98
3DD.003D281BAA,0,0,0,1,0,0,0,0,0,0,1,142
3DD.003C099F5C,0,0,0,0,0,0,0,1,1,1,1,96
3DD.003D281BD8,0,0,1,0,0,0,0,0,1,0,1,130
3DD.003D5C70C0,0,0,0,1,0,0,0,0,1,0,1,130
3DD.003C09A077,0,0,0,0,0,0,0,1,1,1,1,80
3DD.003D4247DB,0,0,0,0,0,0,0,1,1,1,1,98
3DD.003C099B4C,0,0,0,0,0,0,0,1,1,1,1,91
3DD.003C09A97C,0,0,0,0,0,0,0,1,1,1,1,99
3DD.003C099B45,0,0,0,0,0,0,0,1,1,1,1,99
3DD.003D42415A,0,0,0,0,0,0,0,1,1,1,1,93
3DD.003D42523D,0,0,0,0,0,0,0,1,1,1,1,90
3DD.003D4248FE,0,0,0,0,0,0,0,1,1,1,1,108
3DD.003D47EAD9,0,0,0,1,0,0,0,0,1,1,0,150
3DD.003D4257B4,0,0,0,0,0,0,0,1,1,1,1,97
3DD.003C0994BC,0,0,0,0,0,0,0,1,1,1,1,87
3DD.003BE9EBBD,0,0,0,0,1,0,0,0,0,0,0,140
3DD.003D42519E,0,0,0,0,0,0,0,1,1,1,1,85
3DD.003D42481C,0,0,0,0,0,0,0,1,1,1,1,98
3DD.003C099C9F,0,0,0,0,0,0,0,1,1,1,1,93
3DD.003D281BD5,0,0,1,0,0,0,0,0,1,0,1,153
3DD.003D2815EA,0,0,1,0,0,0,0,0,0,0,0,152
3DD.003D425758,0,0,0,0,0,0,0,1,1,1,1,93
3DD.003D4250B4,0,0,0,0,0,0,0,1,1,1,1,101
3DD.003D425658,0,0,0,0,0,0,0,1,1,1,1,90
3DD.003D42400F,0,0,0,0,0,0,0,1,1,1,1,81
3DD.003D282B60,0,0,0,1,0,0,0,0,1,0,1,185
3DD.003D424FD5,0,0,0,0,0,0,0,1,1,1,1,84
